2009-01-16::10:00:00 -0.535000E-01
2009-01-16::11:00:00 -0.531000E-01
2009-01-16::12:00:00 -0.492000E-01
2009-01-16::13:00:00 -0.464000E-01
2009-01-16::14:00:00 -0.456000E-01
2009-01-16::15:00:00 -0.439000E-01
2009-01-16::16:00:00 -0.395000E-01
2009-01-16::17:00:00 -0.349000E-01
2009-01-16::18:00:00 -0.367000E-01
2009-01-16::19:00:00 -0.502000E-01
2009-01-16::20:00:00 -0.740000E-01
2009-01-16::21:00:00 -0.101100    
2009-01-16::22:00:00 -0.122300    
2009-01-16::23:00:00 -0.133100    
2009-01-17::00:00:00 -0.135200    
2009-01-17::01:00:00 -0.132400    
2009-01-17::02:00:00 -0.126800    
2009-01-17::03:00:00 -0.116700    
2009-01-17::04:00:00 -0.100300    
2009-01-17::05:00:00 -0.792000E-01
2009-01-17::06:00:00 -0.599000E-01
2009-01-17::07:00:00 -0.494000E-01
2009-01-17::08:00:00 -0.506000E-01
2009-01-17::09:00:00 -0.593000E-01
2009-01-17::10:00:00 -0.683000E-01
2009-01-17::11:00:00 -0.726000E-01
2009-01-17::12:00:00 -0.723000E-01
2009-01-17::13:00:00 -0.709000E-01
2009-01-17::14:00:00 -0.707000E-01
2009-01-17::15:00:00 -0.707000E-01
2009-01-17::16:00:00 -0.678000E-01
2009-01-17::17:00:00 -0.613000E-01
2009-01-17::18:00:00 -0.552000E-01
2009-01-17::19:00:00 -0.552000E-01
2009-01-17::20:00:00 -0.650000E-01
2009-01-17::21:00:00 -0.820000E-01
2009-01-17::22:00:00 -0.997000E-01
2009-01-17::23:00:00 -0.111800    
2009-01-18::00:00:00 -0.116600    
2009-01-18::01:00:00 -0.116300    
2009-01-18::02:00:00 -0.113700    
2009-01-18::03:00:00 -0.109200    
2009-01-18::04:00:00 -0.100300    
2009-01-18::05:00:00 -0.864000E-01
2009-01-18::06:00:00 -0.702000E-01
2009-01-18::07:00:00 -0.580000E-01
2009-01-18::08:00:00 -0.549000E-01
2009-01-18::09:00:00 -0.617000E-01
2009-01-18::10:00:00 -0.739000E-01
2009-01-18::11:00:00 -0.860000E-01
2009-01-18::12:00:00 -0.950000E-01
2009-01-18::13:00:00 -0.101400    
2009-01-18::14:00:00 -0.107300    
2009-01-18::15:00:00 -0.112900    
2009-01-18::16:00:00 -0.115800    
2009-01-18::17:00:00 -0.113800    
2009-01-18::18:00:00 -0.107200    
2009-01-18::19:00:00 -0.100300    
2009-01-18::20:00:00 -0.982000E-01
2009-01-18::21:00:00 -0.102700    
2009-01-18::22:00:00 -0.111200    
2009-01-18::23:00:00 -0.118900    
2009-01-19::00:00:00 -0.122400    
2009-01-19::01:00:00 -0.121300    
2009-01-19::02:00:00 -0.117400    
2009-01-19::03:00:00 -0.111700    
2009-01-19::04:00:00 -0.103500    
2009-01-19::05:00:00 -0.910000E-01
2009-01-19::06:00:00 -0.745000E-01
2009-01-19::07:00:00 -0.576000E-01
2009-01-19::08:00:00 -0.455000E-01
2009-01-19::09:00:00 -0.417000E-01
2009-01-19::10:00:00 -0.458000E-01
2009-01-19::11:00:00 -0.543000E-01
2009-01-19::12:00:00 -0.634000E-01
2009-01-19::13:00:00 -0.711000E-01
2009-01-19::14:00:00 -0.775000E-01
2009-01-19::15:00:00 -0.824000E-01
2009-01-19::16:00:00 -0.846000E-01
2009-01-19::17:00:00 -0.817000E-01
2009-01-19::18:00:00 -0.727000E-01
2009-01-19::19:00:00 -0.591000E-01
2009-01-19::20:00:00 -0.449000E-01
2009-01-19::21:00:00 -0.341000E-01
2009-01-19::22:00:00 -0.279000E-01
2009-01-19::23:00:00 -0.251000E-01
2009-01-20::00:00:00 -0.228000E-01
2009-01-20::01:00:00 -0.196000E-01
2009-01-20::02:00:00 -0.152000E-01
2009-01-20::03:00:00 -0.990000E-02
2009-01-20::04:00:00 -0.370000E-02
2009-01-20::05:00:00  0.450000E-02
2009-01-20::06:00:00  0.152000E-01
2009-01-20::07:00:00  0.269000E-01
2009-01-20::08:00:00  0.365000E-01
2009-01-20::09:00:00  0.401000E-01
2009-01-20::10:00:00  0.354000E-01
2009-01-20::11:00:00  0.226000E-01
2009-01-20::12:00:00  0.410000E-02
2009-01-20::13:00:00 -0.172000E-01
2009-01-20::14:00:00 -0.392000E-01
2009-01-20::15:00:00 -0.598000E-01
2009-01-20::16:00:00 -0.772000E-01
2009-01-20::17:00:00 -0.895000E-01
2009-01-20::18:00:00 -0.952000E-01
2009-01-20::19:00:00 -0.941000E-01
2009-01-20::20:00:00 -0.885000E-01
2009-01-20::21:00:00 -0.812000E-01
2009-01-20::22:00:00 -0.755000E-01
2009-01-20::23:00:00 -0.732000E-01
2009-01-21::00:00:00 -0.744000E-01
2009-01-21::01:00:00 -0.781000E-01
2009-01-21::02:00:00 -0.828000E-01
2009-01-21::03:00:00 -0.871000E-01
2009-01-21::04:00:00 -0.897000E-01
2009-01-21::05:00:00 -0.903000E-01
2009-01-21::06:00:00 -0.885000E-01
2009-01-21::07:00:00 -0.851000E-01
2009-01-21::08:00:00 -0.816000E-01
2009-01-21::09:00:00 -0.806000E-01
2009-01-21::10:00:00 -0.846000E-01
2009-01-21::11:00:00 -0.958000E-01
2009-01-21::12:00:00 -0.114800    
2009-01-21::13:00:00 -0.140000    
2009-01-21::14:00:00 -0.168500    
2009-01-21::15:00:00 -0.196400    
2009-01-21::16:00:00 -0.219800    
2009-01-21::17:00:00 -0.236100    
2009-01-21::18:00:00 -0.244000    
2009-01-21::19:00:00 -0.243400    
2009-01-21::20:00:00 -0.235100    
2009-01-21::21:00:00 -0.220700    
2009-01-21::22:00:00 -0.203100    
2009-01-21::23:00:00 -0.185300    
2009-01-22::00:00:00 -0.170700    
2009-01-22::01:00:00 -0.161100    
2009-01-22::02:00:00 -0.155700    
2009-01-22::03:00:00 -0.152400    
2009-01-22::04:00:00 -0.148300    
2009-01-22::05:00:00 -0.141600    
2009-01-22::06:00:00 -0.132500    
2009-01-22::07:00:00 -0.122300    
2009-01-22::08:00:00 -0.112800    
2009-01-22::09:00:00 -0.105100    
2009-01-22::10:00:00 -0.101200    
2009-01-22::11:00:00 -0.103300    
2009-01-22::12:00:00 -0.113800    
2009-01-22::13:00:00 -0.134600    
2009-01-22::14:00:00 -0.164100    
2009-01-22::15:00:00 -0.197800    
2009-01-22::16:00:00 -0.229600    
2009-01-22::17:00:00 -0.254500    
2009-01-22::18:00:00 -0.270000    
2009-01-22::19:00:00 -0.276400    
2009-01-22::20:00:00 -0.274500    
2009-01-22::21:00:00 -0.265300    
2009-01-22::22:00:00 -0.249800    
2009-01-22::23:00:00 -0.230100    
2009-01-23::00:00:00 -0.210700    
2009-01-23::01:00:00 -0.196000    
2009-01-23::02:00:00 -0.188200    
2009-01-23::03:00:00 -0.185700    
2009-01-23::04:00:00 -0.184200    
2009-01-23::05:00:00 -0.179300    
2009-01-23::06:00:00 -0.169700    
2009-01-23::07:00:00 -0.157000    
2009-01-23::08:00:00 -0.144100    
2009-01-23::09:00:00 -0.132600    
2009-01-23::10:00:00 -0.123300    
2009-01-23::11:00:00 -0.117100    
2009-01-23::12:00:00 -0.116600    
2009-01-23::13:00:00 -0.126000    
2009-01-23::14:00:00 -0.146900    
2009-01-23::15:00:00 -0.177100    
2009-01-23::16:00:00 -0.209400    
2009-01-23::17:00:00 -0.236200    
2009-01-23::18:00:00 -0.252500    
2009-01-23::19:00:00 -0.257600    
2009-01-23::20:00:00 -0.253400    
2009-01-23::21:00:00 -0.242000    
2009-01-23::22:00:00 -0.223500    
2009-01-23::23:00:00 -0.198700    
2009-01-24::00:00:00 -0.170600    
2009-01-24::01:00:00 -0.145200    
2009-01-24::02:00:00 -0.127900    
2009-01-24::03:00:00 -0.120200    
2009-01-24::04:00:00 -0.118500    
2009-01-24::05:00:00 -0.116400    
2009-01-24::06:00:00 -0.109400    
2009-01-24::07:00:00 -0.977000E-01
2009-01-24::08:00:00 -0.848000E-01
2009-01-24::09:00:00 -0.741000E-01
2009-01-24::10:00:00 -0.670000E-01
2009-01-24::11:00:00 -0.628000E-01
2009-01-24::12:00:00 -0.625000E-01
2009-01-24::13:00:00 -0.699000E-01
2009-01-24::14:00:00 -0.895000E-01
2009-01-24::15:00:00 -0.122400    
2009-01-24::16:00:00 -0.163300    
2009-01-24::17:00:00 -0.203000    
2009-01-24::18:00:00 -0.232600    
2009-01-24::19:00:00 -0.248700    
2009-01-24::20:00:00 -0.252600    
2009-01-24::21:00:00 -0.247500    
2009-01-24::22:00:00 -0.235300    
2009-01-24::23:00:00 -0.215400    
2009-01-25::00:00:00 -0.188600    
2009-01-25::01:00:00 -0.159200    
2009-01-25::02:00:00 -0.134500    
2009-01-25::03:00:00 -0.119700    
2009-01-25::04:00:00 -0.114600    
2009-01-25::05:00:00 -0.112500    
2009-01-25::06:00:00 -0.106000    
2009-01-25::07:00:00 -0.917000E-01
2009-01-25::08:00:00 -0.722000E-01
2009-01-25::09:00:00 -0.527000E-01
2009-01-25::10:00:00 -0.368000E-01
2009-01-25::11:00:00 -0.244000E-01
2009-01-25::12:00:00 -0.149000E-01
2009-01-25::13:00:00 -0.980000E-02
2009-01-25::14:00:00 -0.146000E-01
2009-01-25::15:00:00 -0.337000E-01
2009-01-25::16:00:00 -0.664000E-01
2009-01-25::17:00:00 -0.104600    
2009-01-25::18:00:00 -0.137200    
2009-01-25::19:00:00 -0.156300    
2009-01-25::20:00:00 -0.160700    
2009-01-25::21:00:00 -0.154600    
2009-01-25::22:00:00 -0.141600    
2009-01-25::23:00:00 -0.122800    
2009-01-26::00:00:00 -0.970000E-01
2009-01-26::01:00:00 -0.659000E-01
2009-01-26::02:00:00 -0.357000E-01
2009-01-26::03:00:00 -0.142000E-01
2009-01-26::04:00:00 -0.530000E-02
2009-01-26::05:00:00 -0.560000E-02
2009-01-26::06:00:00 -0.640000E-02
2009-01-26::07:00:00 -0.300000E-03
2009-01-26::08:00:00  0.140000E-01
2009-01-26::09:00:00  0.311000E-01
2009-01-26::10:00:00  0.453000E-01
2009-01-26::11:00:00  0.540000E-01
2009-01-26::12:00:00  0.584000E-01
2009-01-26::13:00:00  0.593000E-01
2009-01-26::14:00:00  0.534000E-01
2009-01-26::15:00:00  0.348000E-01
2009-01-26::16:00:00   0.00000    
2009-01-26::17:00:00 -0.472000E-01
2009-01-26::18:00:00 -0.958000E-01
2009-01-26::19:00:00 -0.134400    
2009-01-26::20:00:00 -0.157000    
2009-01-26::21:00:00 -0.165500    
2009-01-26::22:00:00 -0.165400    
2009-01-26::23:00:00 -0.159900    
2009-01-27::00:00:00 -0.148600    
2009-01-27::01:00:00 -0.130500    
2009-01-27::02:00:00 -0.108100    
2009-01-27::03:00:00 -0.892000E-01
2009-01-27::04:00:00 -0.811000E-01
2009-01-27::05:00:00 -0.848000E-01
2009-01-27::06:00:00 -0.937000E-01
2009-01-27::07:00:00 -0.980000E-01
2009-01-27::08:00:00 -0.916000E-01
2009-01-27::09:00:00 -0.765000E-01
2009-01-27::10:00:00 -0.597000E-01
2009-01-27::11:00:00 -0.468000E-01
2009-01-27::12:00:00 -0.390000E-01
2009-01-27::13:00:00 -0.340000E-01
2009-01-27::14:00:00 -0.324000E-01
2009-01-27::15:00:00 -0.387000E-01
2009-01-27::16:00:00 -0.594000E-01
2009-01-27::17:00:00 -0.959000E-01
2009-01-27::18:00:00 -0.141100    
2009-01-27::19:00:00 -0.182800    
2009-01-27::20:00:00 -0.210400    
2009-01-27::21:00:00 -0.221700    
2009-01-27::22:00:00 -0.221200    
2009-01-27::23:00:00 -0.214900    
2009-01-28::00:00:00 -0.204900    
2009-01-28::01:00:00 -0.189600    
2009-01-28::02:00:00 -0.168600    
2009-01-28::03:00:00 -0.146400    
2009-01-28::04:00:00 -0.131100    
2009-01-28::05:00:00 -0.128600    
2009-01-28::06:00:00 -0.136700    
2009-01-28::07:00:00 -0.145800    
2009-01-28::08:00:00 -0.146500    
2009-01-28::09:00:00 -0.135600    
2009-01-28::10:00:00 -0.117600    
2009-01-28::11:00:00 -0.100200    
